iter	Logloss
0	0.6366793533
1	0.590593947
2	0.5528201961
3	0.5223877657
4	0.4967762808
5	0.4759954145
6	0.4598483348
7	0.445689937
8	0.4340526349
9	0.4246680211
10	0.4168320763
11	0.4102842072
12	0.4049068813
13	0.4007872513
14	0.3969603952
15	0.3939119521
16	0.3913561019
17	0.3891429642
18	0.3872971234
19	0.3859486653
20	0.3847362547
21	0.3836710455
22	0.3826457493
23	0.3819893877
24	0.3813017179
25	0.3806527796
26	0.3800947718
27	0.3797735544
28	0.3791591295
29	0.3785500983
30	0.3780122597
31	0.3778438234
32	0.3775434768
33	0.3771078044
34	0.3768888726
35	0.3767837573
36	0.3766228851
37	0.3765518842
38	0.3764249598
39	0.3763029278
40	0.3761481571
41	0.3759339752
42	0.3756468201
43	0.3754984865
44	0.3753915663
45	0.3753673436
46	0.3752691204
47	0.3750222303
48	0.3749736041
49	0.3748929973
50	0.3748414364
51	0.3746420093
52	0.3745038911
53	0.3744881195
54	0.3744373746
55	0.3742628887
56	0.3742439867
57	0.3742267689
58	0.3742016427
59	0.3741075019
60	0.3740295676
61	0.3739228757
62	0.3738734533
63	0.3737897535
64	0.3736727013
65	0.3735769832
66	0.3734899479
67	0.3734880018
68	0.3733201414
69	0.3731903344
70	0.3731151878
71	0.373114594
72	0.3730583794
73	0.3730185636
74	0.3730033363
75	0.3728582128
76	0.37269534
77	0.3726618521
78	0.3725921748
79	0.3725148267
80	0.3724971082
81	0.3724839334
82	0.3723852237
83	0.3722153398
84	0.3720619705
85	0.3720485876
86	0.3720158412
87	0.3719765642
88	0.3719110508
89	0.371830729
90	0.37170143
91	0.3716434025
92	0.371599053
93	0.3715516286
94	0.3714493292
95	0.3714339394
96	0.3713588147
97	0.3712926861
98	0.3712480212
99	0.3712408442
100	0.3711883913
101	0.3711745363
102	0.3711451764
103	0.3711073612
104	0.3710477154
105	0.3709904736
106	0.3708365944
107	0.3708252535
108	0.3708252358
109	0.3707300082
110	0.3707267742
111	0.370658983
112	0.3706261887
113	0.3705400257
114	0.3705199336
115	0.3704533587
116	0.3704397172
117	0.3703739968
118	0.3702495151
119	0.3701965852
120	0.3701680979
121	0.3700897561
122	0.3699752487
123	0.3699279948
124	0.3697387535
125	0.3696835356
126	0.3696685205
127	0.369659571
128	0.3695373672
129	0.3694709484
130	0.3693990545
131	0.3693019159
132	0.3691955145
133	0.3691470051
134	0.3690225516
135	0.3689801021
136	0.3689251368
137	0.3688449622
138	0.3688189135
139	0.3687476797
140	0.3687109032
141	0.3686490237
142	0.3685620918
143	0.3684940612
144	0.3684204137
145	0.3683137591
146	0.3681986213
147	0.3680927502
148	0.368050499
149	0.3679797474
150	0.367828071
151	0.3677349742
152	0.3677096224
153	0.3675874487
154	0.3675471374
155	0.3674554449
156	0.3673737065
157	0.3672573954
158	0.3672068157
159	0.3671400213
160	0.367004165
161	0.3668575143
162	0.3667672813
163	0.3666802247
164	0.366653171
165	0.3666017831
166	0.366532613
167	0.3664557368
168	0.3664214647
169	0.3663619026
170	0.3662906901
171	0.3662017741
172	0.366163971
173	0.3660675498
174	0.3659766614
175	0.3659112635
176	0.3658683682
177	0.3658270128
178	0.3657734321
179	0.3657090109
180	0.3656834553
181	0.3655894877
182	0.365476479
183	0.3653787332
184	0.3653033325
185	0.365231699
186	0.3651549546
187	0.365154096
188	0.3651400467
189	0.3651067412
190	0.3650586601
191	0.3649002423
192	0.3647764089
193	0.3647507058
194	0.364652628
195	0.3645701054
196	0.3644281309
197	0.3643354313
198	0.3643251373
199	0.3642870049
200	0.3642532745
201	0.364141622
202	0.3640750155
203	0.3639833853
204	0.3639068619
205	0.3638902673
206	0.3638096707
207	0.3637087153
208	0.3636842
209	0.3636599655
210	0.3636304949
211	0.3635748033
212	0.3635272272
213	0.3634941905
214	0.3634542469
215	0.3633792348
216	0.3633397714
217	0.3633022671
218	0.3632054395
219	0.3630765152
220	0.3630493412
221	0.3630263167
222	0.362941192
223	0.3629117234
224	0.3628455101
225	0.3627266928
226	0.3626158631
227	0.3625237977
228	0.3624603752
229	0.3623993985
230	0.3623420026
231	0.3622947569
232	0.3622307029
233	0.3621991381
234	0.3621225923
235	0.3620641258
236	0.3619661748
237	0.3618873792
238	0.3618671144
239	0.3617658026
240	0.3617288853
241	0.3616813315
242	0.3615920835
243	0.3615412713
244	0.3614278187
245	0.3614043125
246	0.3613557433
247	0.3612894015
248	0.361194247
249	0.361064483
250	0.3610120217
251	0.3609472458
252	0.3608457488
253	0.3608236087
254	0.3607370384
255	0.3606862644
256	0.3605741872
257	0.3605442636
258	0.3605230208
259	0.3604831237
260	0.3604320646
261	0.3604126411
262	0.3603815393
263	0.3603127088
264	0.3602726805
265	0.3602510853
266	0.3601369212
267	0.3600937694
268	0.3600739872
269	0.3600518562
270	0.3600079661
271	0.3599709179
272	0.3599386895
273	0.3598686285
274	0.359840817
275	0.3597686943
276	0.3597385859
277	0.3597013508
278	0.3596538914
279	0.3596150482
280	0.3595731605
281	0.3594530105
282	0.3594161155
283	0.3593984451
284	0.3593830461
285	0.359332234
